String Id,Locale,Core String,Localized String
$$$/public/LensCorrect/LensProfileCreatorInfo,nl_NL,http://www.adobe.com/go/alpc,http://www.adobe.com/go/alpc_nl
$$$/public/LensCorrect/LensProfileCreatorInfo,uk_UA,http://www.adobe.com/go/alpc,http://www.adobe.com/go/alpc_ua
$$$/public/LensCorrect/LensProfileCreatorInfo,pl_PL,http://www.adobe.com/go/alpc,http://www.adobe.com/go/alpc_pl
$$$/public/LensCorrect/LensProfileCreatorInfo,cs_CZ,http://www.adobe.com/go/alpc,http://www.adobe.com/go/alpc_cz
$$$/public/LensCorrect/LensProfileCreatorInfo,tr_TR,http://www.adobe.com/go/alpc,http://www.adobe.com/go/alpc_tr
$$$/public/LensCorrect/LensProfileCreatorInfo,pt_BR,http://www.adobe.com/go/alpc,http://www.adobe.com/go/alpc_br
$$$/public/LensCorrect/LensProfileCreatorInfo,nb_NO,http://www.adobe.com/go/alpc,http://www.adobe.com/go/alpc_no
$$$/public/LensCorrect/LensProfileCreatorInfo,it_IT,http://www.adobe.com/go/alpc,http://www.adobe.com/go/alpc_it
$$$/public/LensCorrect/LensProfileCreatorInfo,fi_FI,http://www.adobe.com/go/alpc,http://www.adobe.com/go/alpc_fi
$$$/public/LensCorrect/LensProfileCreatorInfo,da_DK,http://www.adobe.com/go/alpc,http://www.adobe.com/go/alpc_dk
$$$/public/LensCorrect/LensProfileCreatorInfo,de_DE,http://www.adobe.com/go/alpc,http://www.adobe.com/go/alpc_de
$$$/public/LensCorrect/LensProfileCreatorInfo,zh_TW,http://www.adobe.com/go/alpc,http://www.adobe.com/go/alpc_tw
$$$/public/LensCorrect/LensProfileCreatorInfo,fr_FR,http://www.adobe.com/go/alpc,http://www.adobe.com/go/alpc_fr
$$$/public/LensCorrect/LensProfileCreatorInfo,hu_HU,http://www.adobe.com/go/alpc,http://www.adobe.com/go/alpc_hu
$$$/public/LensCorrect/LensProfileCreatorInfo,ru_RU,http://www.adobe.com/go/alpc,http://www.adobe.com/go/alpc_ru
$$$/public/LensCorrect/LensProfileCreatorInfo,sv_SE,http://www.adobe.com/go/alpc,http://www.adobe.com/go/alpc_se
$$$/public/LensCorrect/LensProfileCreatorInfo,zh_CN,http://www.adobe.com/go/alpc,http://www.adobe.com/go/alpc_cn
$$$/public/LensCorrect/LensProfileCreatorInfo,ja_JP,http://www.adobe.com/go/alpc,http://www.adobe.com/go/alpc_jp
$$$/public/LensCorrect/LensProfileCreatorInfo,ko_KR,http://www.adobe.com/go/alpc,http://www.adobe.com/go/alpc_kr
$$$/public/LensCorrect/LensProfileCreatorInfo,es_ES,http://www.adobe.com/go/alpc,http://www.adobe.com/go/alpc_es
$$$/override/ULinkManager/SearchAdobeStock/FindSimilar/URL,tr_TR,https://stock.adobe.com/search?similia_id=^0&safe_search=0&filters%5Bcontent_type%3Aphoto%5D=1&filters%5Bcontent_type%3Aillustration%5D=1&filters%5Bcontent_type%3Azip_vector%5D=1&filters%5Bcontent_type%3Avideo%5D=1&filters%5Bcontent_type%3Atemplate%5D=1&filters%5Bcontent_type%3A3d%5D=1&filters%5Bis_editorial%5D=all&x-product=Photoshop%2F^1&x-product-location=PropertiesPanel&sso_inbound=1&locale=^2,https://stock.adobe.com/search?similia_id=^0&safe_search=0&filters%5Bcontent_type%3Aphoto%5D=1&filters%5Bcontent_type%3Aillustration%5D=1&filters%5Bcontent_type%3Azip_vector%5D=1&filters%5Bcontent_type%3Avideo%5D=1&filters%5Bcontent_type%3Atemplate%5D=1&filters%5Bcontent_type%3A3d%5D=1&filters%5Bis_editorial%5D=all&x-product=Photoshop%2F^1&x-product-location=PropertiesPanel&sso_inbound=1&locale=^2
